Group,Sci Name,Ref,Tmax_lit,Tmax_BTS,Tmax_Aquamaps,Topt_growth,Topt,Q10
AmPlaice,Hippoglossoides platessoides ,,,16.9,15.5,,,
AtlHalibut,Hippoglossus hippoglossus  ,,,13.9,18.98,,,
AtlHalibut,Hippoglossus hippoglossus  ,"Hallaråker, 1995",,,,13,,
AtlHalibut,Hippoglossus hippoglossus  ,"Aune et al., 2008",,,,14,,
AtlHalibut,Hippoglossus hippoglossus  ,"Bjornsson &Tryggvadottir, 1996",,,,14,,
AtlHerring,Clupea harengus,,,26.6,24,,,
AtlHerring,Clupea harengus,"Rudstam, 1988",,,,,14,
AtlHerring,Clupea harengus,Bernreuther et al.,,,,,14.2,
AtlMackerel,Scomber scombrus  ,,,22.53,23.37,,,
AtlMackerel,Scomber scombrus  ,"Olla et al., pp. 299-308",16,,,,13,
AtlMackerel,Scomber scombrus  ,"Olafsdottir et al., 2019",15,,,,,
Barndoor,Dipturus laevis ,,,,18.98,,,
BlackSeaBass,Centropristis striata  ,,,29.4,29.45,,,
BlackSeaBass,Centropristis striata  ,"Slesinger et al, 2021",30,,,,,
BlackSeaBass,Centropristis striata  ,Berlinsky et al (2000),,,,22,,
Butterfish,Peprilus triacanthus,,,28.51,,,,
Cod,Gadus morhua,,,19.2,16.64,,,
Cod,Gadus morhua,"Peck et al, 2003",,,,12,,
Cod,Gadus morhua,"Bjornsson et al.,2001",,,,15,, 
Cod,Gadus morhua,"Brander, 1995",,,,12,,
Cod,Gadus morhua,"Norin et al., 2019",23,,,,,2.055
Cusk,Brosme brosme,,,22.4,18.98,,,
Cusk,Brosme brosme,"Hare et al., 2012",12,,,,,
Fourspot,Hippoglossina oblonga,,,26.75,29.56,,,
Goosefish,Lophius americanus,,,23.63,27.01,,,
Goosefish,Lophius americanus,Stehlik et al (2021),,,,,15,
Haddock,Melanogrammus aeglefinus,,,18.96,18.98,,,
Haddock,Melanogrammus aeglefinus,"Peck et al, 2003",,,,,,
Haddock,Melanogrammus aeglefinus,"Norin et al., 2019",23.9,,,,,1.87
Haddock,Melanogrammus aeglefinus,"Peck et al., 2005",,,,,,2.27
OceanPout,Zoarces americanus,,,19.12,18.98,,,
OceanPout,Zoarces americanus,"Killen et al., 2008",17,,,,,
Pollock,Pollachius virens ,,,18.56,23.47,,,
Redfish,Sebastes fasciatus,,,18.53,16.64,,,
Redfish,Sebastes fasciatus,"Senay et al., 2019",,,,,10,
RedHake,Urophycis chuss  ,,,22.49,25.62,11.5,,
RiverHerring,,,,26.78,,,,
SilverHake,Merluccius bilinearis  ,,,24.46,26.95,,,
SpinyDogfish,Squalus acanthias  ,,,22.91,28.51,,,
SpinyDogfish,Squalus acanthias  ,"Harvey, 2009",25,,,,19,2.465
SummerFlounder,Paralichthys dentatus,,,29.4,27.04,,,
SummerFlounder,Paralichthys dentatus,Stehlik et al (2021),,,,,20,
WhiteHake,Urophycis tenuis  ,,,25.3,26.1,,,
Windowpane,Scophthalmus aquosus,,,27.7,26.49,,,
WinterFlounder,Pseudopleuronectes americanus  ,,,23.12,25.4,,,
WinterFlounder,Pseudopleuronectes americanus  ,"Olla et al, 1969",22,,,,22.2,
WitchFlounder,Glyptocephalus cynoglossus ,,,18.53,20.2,,,
YTFlounder,Limanda ferruginea ,,,19.39,18.98,,,
SmoothDogfish,Mustelus canis,,,27.7,32.15,,,