,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
,,Phytoplankton,Bacteria,Microzooplankton,GelZooplankton,LgCopepods,SmCopepods,Micronekton,Illex,Loligo,OtherCephalopods,Macrobenthos,AmLobster,OceanPout,SmPelagics,SmFlatfishes,NShrimp,OtherShrimps,RiverHerring,AtlScallop,OtherPelagics,AtlHerring,Mesopelagics,YTFlounder,Cod,Haddock,AmPlaice,AtlMackerel,AtlHalibut,SummerFlounder,Cusk,OtherDemersals,HMS,OtherSkates,RedHake,Barndoor,Fourspot,SmoothDogfish,Pollock,Goosefish,SilverHake,WhiteHake,SpinyDogfish,Redfish,LittleSkate,SeaBirds,Windowpane,WinterFlounder,WitchFlounder,BlackSeaBass,Butterfish,Sharks,WinterSkate,Pinnipeds,BaleenWhales,Odontocetes,Megabenthos
1,Phytoplankton,0,0.4305193,0.2117425,0.08602893,0.6317893,0.7240587,0.1824,0,0,0,0.205095001,0,0,0.1656693,0,0.07548419,0.07548419,0,0.7909901,0,8.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004376234,0,0,0,0,0,0.358817855
2,Bacteria,0,0,0.1971663,0.02000673,0,0,0,0,0,0,0.226451309,0.1418395,0,0,0,0.4473137,0.4473137,0,0.1188099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131392553
3,Microzooplankton,0,0,0.09702543,0.05001682,0.04287973,0.1133734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,GelZooplankton,0,0,0,0.04867304,0.02392604,0,0,0,0,0,0,0,0.000247787,0.02177701,0,0,0,0.014958437,0,0,0.003475019,0,0.002593957,0.000383492,0.00441834,0.000476569,0.004568849,0,0,0,0.008961361,0.09437622,0.000117124,1.30E-05,0.000109859,0,0,0.005117563,1.97E-06,7.18E-05,0.00089537,0.234365157,0.004688123,0.000918834,0,0,0.029145678,0.002066807,0,0.588963216,0,0,0,0,0,0
5,LgCopepods,0,0,0,0.3601212,0.1276366,0,0.3664,0.1006037,0.1006037,0.1006037,0.001922152,0,1.26E-06,0.676395,0,0,0,0.280330298,0,0.000147634,0.115331822,1,0.009491524,0.000139903,0.00040022,1.86E-06,0.208378452,0,0,0,0,0,0.000891956,0.003886142,0.000823946,0,0,0.000306218,0,0.000385922,2.10E-05,3.91E-05,0.0065797,0.000750152,0.03427451,0.006122902,0.004567758,2.68E-05,0,0.009899292,0.03340645,0.000611766,0,0.153928,0,0
6,SmCopepods,0,0,0,0.3301111,0.1097328,0.032,0.2208001,0,0,0,0.000381269,0,0,0.08079781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Micronekton,0,0,0,0.004059562,0,0,0.0464,0.6706911,0.6706911,0.6706911,0.058024691,0,0.0014846,0.05170571,0.32832584,0.1509684,0.1509684,0.525564532,0,0,0.63577141,0,0.012587122,0.030464064,0.057655255,0.035040234,0.434422705,0.039832521,0.002953953,0.141055577,0.06147739,0,0.16328611,0.331398038,0.117864138,0.168276397,0,0.270921058,0.003483648,0.241791462,0.099713371,0.075490652,0.658649472,0.066455265,0.2405256,0.54919567,0.004077247,0.02634338,0.276042432,0.140450953,0,0.052167445,0.00313569,0.5024855,0.000274618,0
8,Illex,0,0,0,8.28E-05,0,0,0,0.019231725,0.019231725,0.019231725,0,0,0,0,0,0,0,0,0,0.129,0,0,0,0.029042961,0.0173,0,0.011,0.068549531,0,0.11,0.003272644,0.022380462,0.047848224,0.012732229,0,0.056058108,0,0.019055326,0.042631382,0.028238177,0.060341138,0.034959066,0.0021,0,0.028715926,0,0,0,0,0,0.16077402,0,0.059257402,0.035361212,0.329567353,0
9,Loligo,0,0,0,8.96E-06,0,0,0,0.002080625,0.002080625,0.002080625,0,0,0,0,0,0,0,0,0,0.024948458,0,0,0,0.013577314,0,0,0.002855531,0.001507838,0.152910513,0,0.000354058,0.002421278,0.00794469,0.010484148,0,0.002537592,0.003457815,0.008895853,0.004302597,0.006268783,0.000755124,0.011992911,0,0.009573918,0.003106694,0,0,0,0.047741674,0,0.01739368,0,0.006410888,0.003068318,0.035654947,0
10,OtherCephalopods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178653,6.00E-06,0,0,0.000227159,9.32E-05,0,0.000422122,0.045521869,0.027801911,0.000819436,0,0,0.000321783,0.000614031,0.009722012,0.09469969,0.062240664,0.000172527,0.000503252,7.35E-05,9.79E-05,0.000645373,2.30E-05,0.007005286,0,0.000820239,0.000499508,0.000201247,0.023870837,0,0,0.005537525,0,0,0,0
11,Macrobenthos,0,0,0,0,0.00207612,0,0,0.16767277,0.16767277,0.16767277,0.102683179,0.62061137,0.839453942,0.00365503,0.67167416,0.112991654,0.112991654,0.150501376,0,0.011369735,0.092364035,0,0.899776435,0.078209271,0.748695159,0.893150419,0.167910478,0.003368177,0,0.032921879,0.6389618,0,0.250032126,0.102897893,0.002093921,0.055709544,0.0802213,0.019405002,0.004898107,0.011073928,0.005504311,0.038923481,0.020311935,0.471986705,0,0.103035679,0.923092405,0.961540736,0.132457032,0.256310304,0.02227096,0.329318532,0.010824104,0,0.005182796,0.339082637
12,AmLobster,0,0,0,0,0,0,0,0,0,0,8.42E-05,0.0009719,0,0,0,0,0,0,0,0,0,0,0,0.00608773,0.000878187,0,0.000380737,0.01570665,0,0.07,0.002239933,0,0.000582611,0.000894672,0.001768737,0,0.16735823,0,0.004473772,4.76E-05,0.000331477,0.011348135,0,0.016961504,0,0,0.01715786,0,0.039784728,0,0,0.004864648,0,0,0,0.000531016
13,OceanPout,0,0,0,0,0,0,0,0,0,0,9.68E-06,3.13E-05,0,0,0,0,0,0,0,0.000652032,0,0,0,0.011267768,0.000270211,0,0,0.088367325,0,0,0.000402329,0,0.021259077,0.005316167,0,0,0,0,0.017462459,0,0.000390153,0.015442283,0,0.001119828,0.000215786,0.002952859,0,0,0,0,0.000600722,0.00108349,0.002714583,0.000165368,0.001202363,1.71E-05
14,SmPelagics,0,0,0,0.000414037,0,0,0,0.007159837,0.007159837,0.007159837,0,0,0.001236083,0,0,0,0,0,0,0.286329934,0.016035994,0,0.06182264,0.174675271,0.046683667,0,0.096041013,0.039609772,0.102519548,0,0.001640947,0.570386226,0.024835828,0.061837626,0,0.021396225,0,0.154540534,0.052698681,0.224784373,0.194361931,0.139620156,0,0.054096327,0.23875322,0.142721503,0.003531474,0,0,0,0.067598082,0.3463883,0.208860455,0.065953388,0.053599284,0
15,SmFlatfishes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89E-05,0,0,0,0,0,0,0,0,0,9.35E-05,3.85E-05,0.002353585,0,0,0.000203928,0,2.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,NShrimp,0,0,0,0,0,0,0,0.007085955,0.007085955,0.007085955,0,0,0,0,0,0.000377515,0.000377515,0,0,0,0,0,0,0.00736989,0.00216691,0.007749355,0,0.027712356,0,0,0.005088267,0,0.008954755,0.009086217,0.034825445,0.005990943,0,0.003714603,0.002427162,0.002425784,0.007335108,0.002468684,0.011648095,0.005578632,0.006471918,0.001640477,0,0,0,0,0,0.000294827,0.000940707,0,8.24E-05,0
17,OtherShrimps,0,0,0,0,0,0,0,0.016533895,0.016533895,0.016533895,0,0,0.000208182,0,0,0.000880867,0.000880867,0.015175846,0,0,0.128179064,0,0.006052566,0.036495062,0.026304005,0.037373155,0.060765691,0.054674562,0.001390096,0.078211887,0.011872623,0,0.088194954,0.219723873,0.065706585,0.346972685,0,0.25459484,0.00412883,0.114256713,0.079602528,0.027492075,0.18377694,0.168894078,0.015101142,0.187604955,0.001681792,0.004867983,0.12044935,0,0,0.058947312,0.002194983,0,0.000192233,0
18,RiverHerring,0,0,0,8.16E-05,0,0,0,0.001356397,0.001356397,0.001356397,0,0,0,0,0,0,0,0,0,0.116432466,0,0,0,0.009000341,0.001992808,0,0,0.007386352,0,0,0.000361784,0.125754444,0,0,0.006316918,0,0,0.010803616,0.016907595,0.009185841,0.010904466,0.009185962,0,0,0.0481894,0,0,0,0,0,0.009993381,0.001768963,0.046047974,0.014540904,0.011817165,0
19,AtlScallop,0,0,0,0,0,0,0,0,0,0,5.28E-05,0.000125197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000673518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84E-05
20,OtherPelagics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117428264,0,0,0,0.002199638,0,0,0,0,0.253761946,0,0,0,0.000513542,0.005890387,0,0,0,0.004744208,0,0.011565186,0.004326734,0.009419117,0,0.008203871,0.000353094,0,0,0,0,0,0.031213,0,0,0,0,0
21,AtlHerring,0,0,0,0.000285108,0,0,0,0.005992326,0.005992326,0.005992326,0,0,0,0,0,0,0,0,0,0.16847569,0.001183993,0,0,0.191108523,0.034587044,0,0.000285553,0.069285174,0,0,0.038401047,0.143289468,0.064014551,0.039854581,0.029799375,0,0,0.079491841,0.073856564,0.206911112,0.225057609,0.172104504,0.012594127,0.011321342,0.24802551,0.000984286,0,0,0,0,0.185956609,0.040538737,0.108129931,0.123335273,0.181954144,0
22,Mesopelagics,0,0,0,2.92E-06,0,0,0,4.84E-05,4.84E-05,4.84E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08E-06,0.000330702,0,0,0,0,0,1.29E-05,0.00449123,0.000629781,3.89E-05,0,0,0,0.000902477,0,2.69E-05,0.000428711,7.77E-05,0.000269874,0,0.00172105,0.001640477,0,0,0,0,0.000356906,0,0.001644571,0.000519318,0.000422042,0
23,YTFlounder,0,0,0,0,0,0,0,0,0,0,8.91E-06,2.88E-05,0,0,0,0,0,0,0,0,0,0,0,0.00067921,0,0,0,0,0,0,0.000370566,0,1.77E-05,5.56E-06,0,0,0,0,0.006502209,0,1.07E-05,0.001936598,0,1.97E-05,0.000198751,0,0,0,0,0,0.000553296,9.58E-05,0.002500274,0.000152312,0.00110744,1.57E-05
24,Cod,0,0,0,0,0,0,0,0,0,0,0.000524726,0.001643948,0,0,0,0,0,0,0,0,0,0,0,0.006089525,0,0,0,0.017659986,0,0,0.004000672,0,0,0.001111394,0,0,0,0,0.020009067,0.000118434,0.001972482,0.004393617,0,0,0.028345073,0,0,0,0,0,0.077356067,0,0.246720271,0.049317627,0.175951346,0.000898202
25,Haddock,0,0,0,0,0,0,0,0,0,0,0.000317099,0.001024752,0,0,0,0,0,0,0,0,0,0,0,0.001244532,0,0,0,0.022617576,0,0,0.013181574,0,0.005914829,0.001060068,0.03185924,0.015405282,0,0.000927117,0.070684119,0.001076676,0.007239164,0.00200209,0,0,0.007069847,0,0,0,0,0,0.019681538,0,0.088938318,0.005417963,0.039393221,0.000559893
26,AmPlaice,0,0,0,0,0,0,0,0,0,0,0.000120217,0.0003885,0,0,0,0,0,0,0,0,0,0,0,0.044645828,0,0,0,0.0314133,0,0,0.004997352,0,0.008381945,0.000338049,0.004806351,0.006739811,0,0,0.061762283,7.18E-05,0.000715811,0.011754466,7.97E-05,0.003117471,0.002680295,0,0,0,0,0,0.007461595,0.00249866,0.033717981,0.002054039,0.014934619,0.000212265
27,AtlMackerel,0,0,0,5.72E-05,0,0,0,0.001202473,0.001202473,0.001202473,0,0,0,0,0,0,0,0,0,0.032099652,0,0,0,0.008284269,0,0,0,0,0.086880973,0,0.007705896,0.028753739,0.001478707,0.000726649,0,0,0,0.017578089,0.003362703,0.038491168,0.003660391,0.016891053,0,0,0.049771005,0,0,0,0,0,0.037315707,0.0303672,0.021698314,0.024749553,0.036512537,0
28,AtlHalibut,0,0,0,0,0,0,0,0,0,0,1.78E-08,1.26E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000217037,0,0,0,0,0,0.000592313,0,0.001889129,0.000377623,0.001347254,6.88E-06
29,SummerFlounder,0,0,0,0,0,0,0,0,0,0,5.09E-07,1.65E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14E-05,0,0,0,0,0,3.16E-05,0,0.000142873,8.70E-06,6.33E-05,8.99E-07
30,Cusk,0,0,0,0,0,0,0,0,0,0,5.07E-05,0.000163796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002106934,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113004,0,0,0,0,0,0.003145884,0,0.014215844,0.000866004,0.006296587,8.95E-05
31,OtherDemersals,0,0,0,0,0,0,0,0,0,0,5.55E-05,0.000179435,0,0,0,0,0,0,0,-0.024661063,0.000147999,0,0,0.025488672,0.001294252,0.002029673,0,0.132513863,0.06342311,0.209880158,0.002308099,0,0.014522803,0.06592868,0.046482631,0.0918112,0.001383126,0.002818203,0.075688155,0.008000068,0.0005973,0.061014062,0.00073324,0.020992052,0.001237933,0,0,0,0.035010561,0,0.003446245,0.04398453,0.015573135,0.000948687,0.006897769,9.80E-05
32,HMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01113548,0,0,0,0,0
33,OtherSkates,0,0,0,0,0,0,0,0,0,0,9.18E-05,0.000861921,0,0,0,0,0,0,0,0,0,0,0,0.00150149,0,0,0,0,0.047784535,0,0.006034971,0,0,0,0.000242789,0,0,0,0.027562197,0,0,0.000371696,0,0,0.013199964,0,0,0,0,0,0.088907281,0.001474136,0.02445018,0.011002049,0.045566041,0.000470927
34,RedHake,0,0,0,0,0,0,0,0,0,0,0.000106209,0.00034323,0,0,0,0,0,0,0,0.079621469,0,0,0,0.061066026,0.000108085,0.001645103,0,0.000753919,0,0,0.004415033,0,0.029269033,0.007595265,0.007470442,0.037272223,0,0.000175711,0.07927377,0.00071599,0.032015425,0.008468757,0.000161924,0.001150183,0.002367973,0,0,0,0,0,0.006592129,0,0.029788979,0.001814691,0.013194356,0.00018753
35,Barndoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Fourspot,0,0,0,0,0,0,0,0,0,0,2.73E-07,4.12E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29E-05,0,0,0,0,0,0,0,0.00066328,0,0,0.002176956,0,0,2.84E-05,0,0,0,0,0,7.90E-05,0,0.000357182,2.18E-05,0.000158206,2.25E-06
37,SmoothDogfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Pollock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003390248,0,0,0,0,0,0,0,0,0,0.000648313,0,0,0,0.04064046,0.00294974,0,0.001219228,0.001351622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Goosefish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00827064,0,0,0,0,0,0,0,0,0.002957414,0,0.00593241,0,0,0,0.062015273,0,0.000533412,0.00248614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,SilverHake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010449395,0.006841708,0,0,0.060793452,0.021718232,0.00525309,0.001070824,0.111443649,0.152910513,0.05101086,0,0,0.04786722,0.072131261,0.049826753,0.068895843,0.055325035,0.096963249,0.151834773,0.065981114,0.118788645,0.059403709,0.095038285,0.017293761,0,0.003280954,0,0,0,0,0,0.046066747,0,0,0,0
41,WhiteHake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00410985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083179655,2.33E-05,0.065966956,0.006267146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,SpinyDogfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001238744,0,0,0,0,0,0,0,0,0,1.85E-05,0,0,0,0,0.015977756,0,0,0.001313608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Redfish,0,0,0,0,0,0,0,0,0,0,2.58E-06,0.000363808,0,0,0,0,0,0,0,0,0,0,0,0.014455395,0.004414577,0.002857333,0,0.017591448,0,0.163963478,0.004679723,0,0.020975461,0.0005983,0.060186499,0.005969547,0,0.002384244,0.089437486,0.001610528,0.025415292,0.00833613,0.001511132,0.000886018,0.002509938,0,0,0,0,0,0.006987341,0,0.031574889,0.001923486,0.013985384,0.000198773
44,LittleSkate,0,0,0,0,0,0,0,0,0,0,1.38E-05,4.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000571731,0,6.65E-05,0,0,0,0,0,0,0,0,0,0,0,0.000306644,0,0,0,0.087526403,0,0.000853657,0,0.003857566,0.000234996,0.001708622,2.43E-05
45,SeaBirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41E-05,0,0,0,3.35E-07,0,0,0,0,0,0,0,0,0,0,0,0,0.03340645,0,0,0,0,0
46,Windowpane,0,0,0,0,0,0,0,0,0,0,3.76E-08,6.58E-06,0,0,0,0,0,0,0,0,0,0,0,7.09E-05,0,0,0,0,0,0,8.47E-05,0,0.00049491,0,0,0,0,0,0.000983247,0,0,0.000844764,0,0,4.54E-05,0,0,0,0,0,0.000126468,0,0.000571491,3.48E-05,0.000253129,3.60E-06
47,WinterFlounder,0,0,0,0,0,0,0,0,0,0,4.51E-07,7.90E-05,0,0,0,0,0,0,0,0.006591428,0,0,0,0.009073744,0,0,0,0,0,0,0.00101641,0,0,0,0,0,0,0,0.006132419,0,0.001950071,0.007176269,0,0.003691742,0.000545145,0,0,0,0,0,0.001517613,0,0.006857894,0.000417771,0.00303755,4.32E-05
48,WitchFlounder,0,0,0,0,0,0,0,0,0,0,4.30E-05,0.000139103,0,0,0,0,0,0,0,0,0,0,0,0.002529584,0,0,0,0.035685508,0,0,0.001789306,0,0.004640183,0.000150853,0.006591567,0,0,0.000126512,0.010247983,1.44E-05,0.001156933,0.000442234,0,0,0.000959682,0,0,0,0,0,0.00267163,0.000442241,0.012072752,0.00073545,0.005347353,7.60E-05
49,BlackSeaBass,0,0,0,0,0,0,0,0,0,0,4.27E-08,1.71E-06,0,0,0,0,0,0,0,0,0,0,0,2.16E-05,0,0,0,0,0,0,1.20E-05,0,0,0,0,0,0,0,5.65E-05,6.90E-06,0,6.46E-05,0,0.000344563,2.62E-05,0,0,0,0,0,0.000176579,0,4.86E-05,2.19E-05,9.05E-05,9.35E-07
50,Butterfish,0,0,0,1.62E-05,0,0,0,0.000340701,0.000340701,0.000340701,0,0,0,0,0,0,0,0,0,0.000934699,0,0,0,0.0020173,0.002229243,0,0.011422122,0,0.019843614,0,0.002183337,0.008146893,0,0,0,0.002567547,0.053250346,0.004357643,0.002882287,0.000299198,0,0.000491766,0,0,0.014101785,0,0,0,0,0,0.010572784,0,0.006147856,1.24E-05,0.010345219,0
51,Sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000168953,0,0,0,0,0,0,0,0,0.03340645,0,0,0,0,0
52,WinterSkate,0,0,0,0,0,0,0,0,0,0,1.11E-05,0.000100418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001291688,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000692788,0,0,0,0,0,0.001928633,0,0.008715241,0.000530917,0.003860219,5.49E-05
53,Pinnipeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03340645,0,0,0,0,0
54,BaleenWhales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01113548,0,0,0,0,0
55,Odontocetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000253429,0,0,0,0,0,0,0,0,0.02227096,0,0,0,0,0
56,Megabenthos,0,0,0,0,0,0,0,0,0,0,0.005288639,0.050187332,0.157368143,0,0,0,0,0.013469511,0,0.040001554,0.000284158,0,0.007675754,0.154699108,0.028459911,0.014423212,0.000475922,0.168798623,0.087819288,0.142136726,0.145236999,0,0.183986095,0.044851572,0.51753193,0.01734378,0.576763485,0.00136277,0.000815174,0.02648332,0.048668139,0.018815913,0.00183449,0.129638779,0,0,0.016246279,0.004953055,0.237116982,0,0,0.033549122,0,0,0,0.027420788
57,Detritus,0,0.5694807,0.4940658,0.1000336,0.06195949,0.130568,0.184,0,0,0,0.398659863,0.18084539,0,0,0,0.21198369,0.21198369,0,0.0902,0,0,0,0,0,0,0,0,0,0,0,0.02418782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05567741,0,0,0,0,0.139725805
58,Discards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0091007,0,0,0,0,0,0,0,0,0,0,0
59,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0